Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Sorghum,2005,Rabi,State14,436.45,8641.76,846.63,233.52,34.39,47.17
Wheat,2001,Kharif,State4,312.05,6859.5,1488.93,377.5,22.59,47.33
Sorghum,2018,Whole Year,State12,343.8,4181.97,440.59,215.29,48.49,37.17
Maize,2018,Rabi,State6,104.44,8299.02,349.11,489.92,12.16,14.28
Sorghum,2013,Whole Year,State10,283.58,4672.99,1808.23,475.37,7.41,41.73
Maize,2004,Rabi,State4,467.36,6867.21,888.09,442.41,27.04,12.48
Sorghum,2016,Zaid,State13,495.52,5773.09,1409.16,145.86,9.29,38.52
Maize,2012,Rabi,State12,264.0,2504.36,1428.56,168.86,38.06,7.34
Sorghum,2020,Zaid,State18,490.55,5859.16,910.97,125.43,45.59,19.24
Sorghum,2000,Whole Year,State3,194.13,8268.46,1166.46,298.24,48.96,33.06
Wheat,2004,Rabi,State13,198.53,5467.15,760.56,372.65,23.55,43.54
Wheat,2014,Zaid,State10,130.74,4802.91,1704.3,381.83,25.76,43.64
Rice,2012,Zaid,State6,252.41,990.88,432.54,127.01,39.15,2.24
Sorghum,2004,Zaid,State20,198.87,6667.07,1705.75,283.94,38.82,43.35
Maize,2018,Zaid,State2,86.96,5712.51,654.54,493.51,24.38,32.33
Rice,2001,Rabi,State8,246.73,5885.71,735.09,237.56,14.35,4.89
Barley,2019,Kharif,State8,459.46,6488.65,313.54,324.53,10.25,2.51
Maize,2010,Zaid,State17,18.85,1816.61,972.82,433.62,26.95,4.45
Barley,2014,Kharif,State20,458.98,2353.98,1619.19,219.27,18.55,35.89
Wheat,2018,Zaid,State12,167.7,8094.9,360.91,172.21,31.99,6.64
Barley,2011,Zaid,State4,405.79,2071.35,1151.58,224.1,43.27,43.73
Maize,2017,Kharif,State1,330.83,3691.96,1864.61,260.78,35.68,23.01
Barley,2007,Rabi,State18,293.18,8144.64,1077.1,455.41,29.34,12.72
Wheat,2013,Rabi,State11,194.1,1035.88,1569.63,283.11,38.63,46.19
Barley,2009,Whole Year,State6,326.48,120.89,1647.71,245.27,37.58,10.35
Barley,2005,Kharif,State11,464.12,9810.41,1566.13,140.01,42.59,26.12
Barley,2009,Rabi,State6,452.68,6492.33,1906.56,426.15,15.58,15.16
Wheat,2020,Rabi,State9,286.78,6533.74,1033.6,399.28,35.18,24.82
Maize,2014,Whole Year,State15,377.56,7528.0,882.65,92.72,7.52,12.68
Barley,2017,Whole Year,State19,292.94,5134.71,433.89,320.53,12.72,10.12
Rice,2003,Whole Year,State17,472.83,8588.87,1733.01,155.85,7.29,42.38
Rice,2008,Zaid,State3,158.77,9816.26,968.88,258.53,21.33,39.28
Barley,2007,Zaid,State15,393.14,5517.78,349.27,415.64,41.68,14.0
Sorghum,2017,Whole Year,State17,499.09,4939.64,1883.9,416.66,11.18,46.12
Maize,2012,Zaid,State1,495.09,2045.02,1747.33,215.8,44.06,17.23
Sorghum,2000,Rabi,State13,271.59,7559.13,1542.71,496.05,12.32,49.36
Sorghum,2006,Kharif,State19,465.65,7600.54,931.93,453.8,17.02,7.29
Wheat,2017,Zaid,State8,299.32,1458.14,1594.63,328.0,41.73,21.92
Wheat,2003,Rabi,State7,57.52,5329.6,1390.49,347.51,25.57,32.26
Barley,2009,Zaid,State18,320.4,3681.21,918.1,372.02,11.7,15.17
Wheat,2017,Kharif,State17,243.41,1437.83,635.16,468.58,35.47,25.53
Barley,2002,Rabi,State16,28.23,9273.03,1075.26,145.86,49.32,18.95
Sorghum,2012,Kharif,State1,352.08,5092.12,1919.35,387.09,15.52,31.9
Sorghum,2019,Rabi,State6,317.42,7333.89,369.42,365.35,37.97,10.42
Sorghum,2013,Kharif,State2,448.29,3601.61,451.04,211.75,39.65,4.06
Wheat,2012,Whole Year,State20,157.52,1829.77,727.0,299.76,41.34,29.78
Wheat,2012,Rabi,State10,116.61,5006.96,1871.67,257.03,47.49,24.09
Sorghum,2017,Zaid,State17,269.7,1096.59,1333.59,181.08,20.25,24.29
Barley,2004,Kharif,State16,29.05,4218.59,901.08,497.24,48.79,30.95
Barley,2018,Rabi,State9,357.68,5308.96,1780.95,463.01,35.72,21.44
Maize,2010,Kharif,State20,295.88,9726.46,1400.3,313.75,21.06,20.85
Wheat,2003,Rabi,State17,72.08,9652.27,645.46,96.42,33.12,39.32
Wheat,2019,Rabi,State15,175.75,7235.01,677.57,274.64,7.16,4.46
Maize,2016,Kharif,State1,351.39,9740.0,1506.28,201.39,39.33,7.98
Barley,2014,Zaid,State3,215.64,9430.56,1387.77,288.62,7.71,17.15
Sorghum,2013,Kharif,State4,64.27,9083.6,1594.47,488.77,21.05,5.18
Rice,2015,Rabi,State16,229.36,3752.12,1516.51,488.78,33.92,2.65
Barley,2020,Rabi,State20,191.81,6694.71,1628.4,430.7,36.35,45.11
Rice,2001,Zaid,State18,419.0,8733.1,1723.9,365.76,14.0,37.73
Wheat,2017,Zaid,State19,290.5,8254.19,1651.26,277.92,9.41,31.88
Barley,2009,Whole Year,State19,117.8,1270.62,1558.23,409.13,8.48,4.53
Sorghum,2012,Whole Year,State12,366.43,1295.01,776.78,494.87,17.08,10.22
Maize,2003,Rabi,State5,92.7,1576.74,1340.07,451.75,37.31,9.86
Wheat,2006,Rabi,State7,382.69,4278.06,1851.05,178.58,29.62,5.14
Rice,2007,Whole Year,State14,85.01,9546.71,1666.78,283.91,15.86,32.38
Sorghum,2008,Whole Year,State7,407.26,1861.98,833.97,405.68,39.48,47.31
Barley,2004,Zaid,State8,135.56,8520.14,1356.15,457.94,23.18,11.29
Barley,2012,Rabi,State2,73.63,1504.48,739.61,345.53,40.69,41.69
Sorghum,2010,Rabi,State13,415.54,3725.12,1746.48,388.74,11.11,24.97
Barley,2013,Whole Year,State2,74.89,8766.89,1300.34,487.64,11.35,19.1
Barley,2010,Kharif,State9,197.17,2204.65,1850.1,139.74,5.96,4.74
Sorghum,2015,Rabi,State20,50.51,3665.82,486.38,353.38,34.24,31.34
Sorghum,2011,Whole Year,State1,324.93,3656.57,1557.39,373.94,34.2,24.12
Maize,2014,Rabi,State20,250.25,9467.08,1859.89,231.0,46.66,13.02
Maize,2018,Rabi,State8,115.59,3402.37,719.77,252.18,25.85,20.39
Sorghum,2018,Zaid,State6,259.56,6054.25,309.03,313.15,49.34,31.09
Barley,2020,Rabi,State18,299.52,9968.0,1500.99,211.93,17.08,48.59
Sorghum,2018,Kharif,State4,85.09,2322.6,624.52,71.64,26.51,44.9
Barley,2019,Rabi,State12,325.08,381.53,1227.43,310.33,42.82,8.72
Wheat,2013,Rabi,State5,338.61,618.71,841.92,436.25,5.35,14.83
Sorghum,2017,Whole Year,State12,97.41,9376.47,1280.54,470.05,25.43,16.62
Rice,2020,Zaid,State3,138.79,8792.18,382.64,450.6,5.94,27.05
Barley,2002,Kharif,State4,39.94,7781.07,1061.11,446.0,32.97,26.42
Wheat,2001,Rabi,State1,292.99,380.75,1127.45,74.8,24.79,23.69
Sorghum,2005,Kharif,State4,381.62,9281.68,1360.28,188.74,48.58,28.97
Maize,2014,Kharif,State16,83.79,5013.22,1570.96,138.06,13.09,14.45
Barley,2008,Whole Year,State16,453.57,3389.87,574.66,376.73,24.0,23.1
Rice,2009,Whole Year,State2,42.91,4137.3,1570.0,66.54,40.75,33.93
Wheat,2010,Zaid,State3,428.75,2545.52,1248.47,308.85,45.99,49.52
Rice,2017,Whole Year,State6,185.33,2146.65,797.64,388.13,17.77,43.89
Maize,2001,Zaid,State5,365.28,3829.62,977.75,65.23,37.55,2.51
Rice,2007,Zaid,State11,360.34,6092.67,604.01,145.61,7.38,12.46
Barley,2015,Kharif,State15,103.14,7267.19,462.32,288.68,43.09,30.33
Maize,2018,Kharif,State15,482.47,1729.56,1089.56,114.53,15.64,17.24
Wheat,2004,Zaid,State14,247.11,3987.72,646.31,343.33,20.88,2.48
Sorghum,2005,Zaid,State14,335.32,1245.54,1354.47,171.82,35.39,19.98
Wheat,2007,Kharif,State20,264.55,6616.47,1621.89,376.39,16.55,36.04
Barley,2003,Rabi,State13,75.2,9474.42,716.71,434.83,21.23,25.79
Maize,2004,Whole Year,State13,136.5,7098.41,523.79,95.26,11.94,46.88
Rice,2001,Zaid,State16,105.14,1407.65,463.9,257.16,45.15,8.72
Rice,2016,Zaid,State18,429.41,735.54,615.51,390.48,16.87,19.59
Sorghum,2020,Rabi,State13,86.44,6296.58,1881.96,222.65,13.83,2.4
Rice,2016,Rabi,State14,320.22,6813.32,1947.82,372.44,25.21,21.3
Maize,2008,Kharif,State17,48.31,3330.29,1369.29,206.02,37.09,16.25
Wheat,2010,Whole Year,State3,327.01,690.39,1308.88,82.58,14.09,8.29
Maize,2012,Whole Year,State4,213.82,9380.76,1820.31,75.95,44.25,20.72
Rice,2000,Kharif,State14,206.92,826.18,1157.97,170.32,17.59,31.39
Wheat,2011,Rabi,State7,223.58,6184.91,1777.18,66.18,11.05,28.69
Barley,2004,Rabi,State10,457.1,6392.58,1498.18,55.79,13.1,43.77
Sorghum,2010,Kharif,State16,61.77,4584.49,688.84,176.19,33.48,17.39
Maize,2006,Whole Year,State16,12.83,9737.58,1800.49,292.14,15.91,40.45
Wheat,2019,Rabi,State14,309.92,7125.11,865.72,55.89,39.67,35.23
Wheat,2007,Kharif,State11,165.92,499.81,946.76,184.95,10.06,33.68
Barley,2015,Kharif,State1,170.96,7144.78,1058.25,222.12,37.4,14.32
Wheat,2017,Zaid,State11,458.17,3634.8,1007.38,257.09,10.54,31.92
Barley,2009,Kharif,State11,386.38,9665.9,1013.59,413.79,41.84,29.35
Barley,2005,Whole Year,State10,422.95,9914.14,1781.53,120.66,40.8,36.47
Barley,2008,Whole Year,State6,323.23,8798.69,1517.77,51.95,6.84,24.37
Wheat,2005,Whole Year,State20,284.87,1825.05,415.38,149.38,35.74,31.07
Rice,2006,Rabi,State2,95.27,2179.18,929.66,360.16,38.87,25.03
Maize,2017,Rabi,State15,438.76,3668.41,1469.52,398.09,36.28,34.53
Sorghum,2010,Kharif,State4,320.83,8674.76,1940.59,53.19,45.31,8.87
Barley,2014,Kharif,State2,199.48,6354.24,835.8,480.13,40.22,4.21
Rice,2016,Whole Year,State5,412.76,6198.88,1113.67,240.88,6.85,20.24
Sorghum,2007,Zaid,State4,66.81,1878.78,1137.02,161.17,16.27,13.61
Rice,2008,Whole Year,State15,177.42,8254.34,665.89,255.98,37.86,8.5
Wheat,2004,Kharif,State18,373.56,8580.78,1244.47,317.1,40.3,14.35
Barley,2015,Kharif,State20,28.07,3684.74,748.73,217.34,28.39,15.27
Rice,2005,Whole Year,State8,57.37,4696.37,1651.32,301.73,11.81,34.69
Barley,2000,Kharif,State19,327.67,9314.19,684.21,190.13,12.26,21.67
Wheat,2011,Rabi,State11,32.37,1201.7,1940.78,195.06,29.24,13.93
Wheat,2003,Zaid,State16,170.77,7677.18,841.22,79.69,21.56,11.13
Maize,2018,Kharif,State14,35.33,7590.72,1929.92,103.62,34.93,14.5
Barley,2017,Whole Year,State18,222.86,9755.23,1863.99,396.97,5.74,29.74
Barley,2018,Rabi,State1,113.91,3306.33,1170.12,421.02,40.94,36.84
Barley,2011,Rabi,State12,77.76,3915.93,1478.05,78.91,35.13,45.03
Maize,2015,Rabi,State20,306.33,7767.72,1819.57,485.25,47.24,44.41
Wheat,2000,Kharif,State19,101.89,7499.41,562.89,246.93,35.66,31.51
Rice,2012,Whole Year,State8,110.33,9239.11,501.94,155.58,25.76,46.26
Sorghum,2012,Rabi,State13,298.15,2781.0,530.7,211.76,36.48,41.58
Maize,2017,Rabi,State16,390.8,3258.61,893.01,73.16,47.73,12.29
Sorghum,2001,Kharif,State4,263.98,9415.52,1865.68,348.19,9.49,35.89
Rice,2003,Zaid,State12,385.13,2930.43,350.93,371.69,17.26,45.58
Maize,2019,Kharif,State8,42.29,2240.32,800.11,370.03,35.53,10.4
Wheat,2013,Rabi,State9,280.99,1607.83,860.22,179.78,11.26,16.83
Barley,2009,Zaid,State1,293.89,2001.35,664.13,467.35,35.99,19.51
Barley,2019,Rabi,State19,137.03,5291.84,1893.38,413.47,13.82,12.11
Rice,2013,Rabi,State13,20.03,441.47,366.73,439.4,44.34,9.03
Rice,2009,Whole Year,State15,137.71,3872.34,413.18,360.4,47.99,14.25
Sorghum,2008,Whole Year,State13,209.81,3213.69,1987.16,325.86,43.25,23.5
Maize,2002,Whole Year,State6,246.28,6182.72,692.83,318.05,21.82,26.29
Wheat,2014,Rabi,State7,473.9,1845.51,1480.18,326.65,46.55,24.0
Rice,2014,Whole Year,State12,152.07,955.26,1095.96,413.68,38.6,5.66
Barley,2005,Kharif,State2,356.45,1607.88,1320.98,138.01,38.54,17.78
Rice,2016,Zaid,State17,368.54,1336.4,395.05,156.08,11.17,29.15
Barley,2015,Kharif,State2,72.85,4402.09,821.27,105.99,44.57,42.64
Wheat,2003,Rabi,State17,33.47,3715.51,613.37,116.04,9.72,37.1
Sorghum,2008,Zaid,State4,227.06,9411.99,419.01,411.1,11.84,38.63
Maize,2008,Kharif,State16,155.8,9032.77,1785.99,338.47,42.96,33.07
Sorghum,2000,Kharif,State19,262.13,4870.61,1930.78,452.69,23.94,24.03
Rice,2020,Kharif,State3,448.49,5850.1,1837.53,231.53,39.37,35.12
Barley,2004,Whole Year,State19,174.75,8366.67,1322.63,67.95,29.1,22.86
Wheat,2007,Whole Year,State19,396.48,8362.15,1507.12,338.75,22.49,21.01
Sorghum,2019,Rabi,State15,48.47,9766.96,426.93,317.89,42.08,12.05
Rice,2004,Whole Year,State19,357.43,5955.65,1105.82,392.74,45.6,19.26
Sorghum,2015,Zaid,State1,236.62,1876.67,1984.31,373.5,12.52,37.51
Sorghum,2009,Rabi,State19,479.54,8845.13,1641.04,438.7,23.19,33.8
Wheat,2006,Whole Year,State10,418.9,8413.82,1231.66,112.85,17.21,10.9
Wheat,2014,Rabi,State11,148.2,174.53,747.53,337.23,22.85,40.63
Barley,2006,Kharif,State11,271.14,5349.32,799.28,194.58,13.56,15.53
Maize,2011,Rabi,State12,400.07,1517.43,1655.59,90.17,24.13,49.05
Sorghum,2004,Rabi,State19,146.49,9737.94,1590.9,278.36,29.79,27.31
Wheat,2000,Rabi,State1,390.2,9522.39,1754.6,443.25,34.35,49.82
Sorghum,2007,Zaid,State20,367.84,1245.02,834.36,91.11,29.65,6.41
Wheat,2002,Rabi,State12,448.21,2607.44,1873.92,147.96,35.45,35.34
Wheat,2001,Rabi,State20,83.13,1689.33,1932.34,364.57,16.11,8.1
Wheat,2009,Zaid,State7,192.51,8518.04,423.89,124.72,43.2,11.47
Rice,2010,Zaid,State12,401.26,8758.55,935.91,204.2,33.03,22.62
Maize,2019,Zaid,State20,303.27,7043.09,674.58,230.16,17.51,14.88
Rice,2014,Whole Year,State5,103.0,5133.79,669.6,103.09,17.01,17.18
Sorghum,2014,Kharif,State4,29.33,1304.2,397.38,162.27,32.12,34.0
Wheat,2007,Kharif,State16,498.1,8860.14,409.3,64.32,8.02,33.71
Barley,2007,Zaid,State2,276.69,1318.34,738.34,285.95,28.13,49.67
Wheat,2019,Kharif,State19,83.42,3889.46,1054.44,63.78,13.27,3.68
Wheat,2001,Rabi,State13,486.62,1879.37,1722.83,177.05,10.58,4.34
Rice,2016,Zaid,State20,55.75,6048.52,362.67,303.53,10.37,29.44
Sorghum,2004,Zaid,State13,376.23,8354.81,1822.77,402.38,25.31,49.79
Sorghum,2012,Zaid,State10,131.8,6101.35,1770.56,304.75,6.44,10.46
Wheat,2004,Whole Year,State12,121.96,5499.11,1663.74,412.32,25.75,24.6
Maize,2013,Whole Year,State2,429.28,9919.42,1123.71,132.06,36.7,12.0
Barley,2002,Zaid,State3,480.43,5836.88,974.82,482.73,12.45,25.51
Sorghum,2010,Whole Year,State5,454.63,7576.11,1328.3,289.87,6.61,36.69
Wheat,2015,Zaid,State13,414.88,3192.44,1078.04,413.04,10.69,19.83
Sorghum,2001,Kharif,State19,389.55,7932.39,1287.43,77.67,13.62,22.63
Barley,2011,Whole Year,State19,202.83,9505.25,477.29,250.03,34.16,31.95
Sorghum,2001,Whole Year,State18,131.53,3694.85,1640.28,77.51,26.42,37.75
Maize,2010,Kharif,State15,242.59,9204.83,1041.1,328.29,20.42,43.88
Rice,2019,Kharif,State4,145.02,5609.64,1958.25,466.7,38.02,41.72
Barley,2008,Zaid,State16,14.64,9074.89,876.68,231.04,42.17,46.22
Barley,2011,Rabi,State4,212.05,9554.36,608.62,468.39,40.14,49.28
Rice,2012,Whole Year,State8,401.15,2434.28,1218.16,465.05,40.28,31.31
Maize,2002,Rabi,State16,159.0,4235.78,1949.53,474.59,35.43,18.51
Maize,2016,Rabi,State13,482.3,4129.84,636.29,326.12,7.28,43.84
Wheat,2014,Whole Year,State10,196.91,3717.98,1984.54,170.64,37.86,43.7
Sorghum,2015,Kharif,State20,491.61,8682.59,584.81,497.66,21.88,11.15
Sorghum,2002,Zaid,State1,487.26,8048.59,842.25,98.74,35.59,35.35
Maize,2016,Whole Year,State12,254.03,5074.03,1799.54,78.46,48.01,13.5
Barley,2007,Zaid,State10,287.62,9211.63,1850.0,236.2,32.64,31.35
Sorghum,2016,Kharif,State5,279.78,6319.15,1227.28,377.57,12.88,23.69
Barley,2003,Zaid,State3,397.61,2931.02,613.03,419.67,19.74,6.62
Sorghum,2007,Whole Year,State19,336.96,9737.16,374.05,68.16,18.48,34.49
Maize,2020,Rabi,State2,445.42,2243.93,653.91,486.91,44.02,6.03
Maize,2013,Rabi,State9,67.94,374.49,681.82,101.99,5.06,9.03
Barley,2014,Whole Year,State2,351.01,606.83,347.76,89.45,43.93,18.94
Rice,2000,Zaid,State11,454.1,9173.86,1312.82,199.94,38.8,28.66
Barley,2000,Zaid,State10,465.29,5949.4,1332.92,266.54,42.64,42.74
Barley,2002,Zaid,State11,292.57,1751.03,492.06,192.12,18.2,30.56
Sorghum,2012,Kharif,State2,274.21,5561.89,1680.87,223.54,18.51,35.21
Maize,2012,Whole Year,State2,267.77,4140.85,1260.13,149.94,46.94,39.41
Barley,2015,Zaid,State7,450.02,5161.36,868.84,191.86,22.94,36.62
Rice,2000,Zaid,State17,68.79,6155.32,434.33,479.15,45.32,19.35
Barley,2016,Kharif,State11,319.42,5680.88,1971.24,303.53,20.38,45.7
Wheat,2019,Zaid,State15,338.24,2722.18,484.33,74.03,31.82,6.98
Rice,2002,Rabi,State15,46.74,1117.18,1872.92,243.06,34.38,47.52
Barley,2002,Rabi,State9,487.54,7216.69,761.57,491.89,25.53,28.04
Rice,2019,Rabi,State4,73.03,4854.49,779.61,71.47,41.1,15.99
Sorghum,2012,Whole Year,State10,428.97,6265.2,1969.8,133.28,17.71,11.58
Sorghum,2003,Zaid,State13,120.97,6271.83,1497.28,276.92,35.23,10.9
